type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
РСД Панчево ,44.884727,20.784216,2024,1,47462,47462.0,118655.0,47462.0,0.0,0.0
РСД Суботица,45.984658,19.796886,2019,6,4056,4056.0,10140.0,676.0,0.14,3.53
РСД Суботица,45.984658,19.796886,2020,5,27382,27382.0,68455.0,5476.4,0.93,23.26
РСД Суботица,45.984658,19.796886,2021,4,27978,27978.0,69945.0,6994.5,0.91,22.64
РСД Суботица,45.984658,19.796886,2022,3,28359,28359.0,70897.5,9453.0,0.83,20.74
РСД Суботица,45.984658,19.796886,2023,2,60991,60991.0,152477.5,30495.5,1.36,34.0
РСД Суботица,45.984658,19.796886,2024,1,86916,86916.0,217290.0,86916.0,0.0,0.0
"СД „Метерис“, Врање",42.566426,21.937706,2015,10,180,180.0,450.0,18.0,0.01,0.16
"СД „Метерис“, Врање",42.566426,21.937706,2016,9,19890,19890.0,49725.0,2210.0,0.71,17.63
"СД „Метерис“, Врање",42.566426,21.937706,2017,8,16841,16841.0,42102.5,2105.12,0.6,14.92
"СД „Метерис“, Врање",42.566426,21.937706,2018,7,17247,17247.0,43117.5,2463.86,0.61,15.21
"СД „Метерис“, Врање",42.566426,21.937706,2019,6,20087,20087.0,50217.5,3347.83,0.7,17.49
"СД „Метерис“, Врање",42.566426,21.937706,2020,5,21946,21946.0,54865.0,4389.2,0.75,18.64
"СД „Метерис“, Врање",42.566426,21.937706,2021,4,23504,23504.0,58760.0,5876.0,0.76,19.02
"СД „Метерис“, Врање",42.566426,21.937706,2022,3,19519,19519.0,48797.5,6506.33,0.57,14.27
"СД „Метерис“, Врање",42.566426,21.937706,2023,2,17854,17854.0,44635.0,8927.0,0.4,9.95
"СД „Метерис“, Врање",42.566426,21.937706,2024,1,19704,19704.0,49260.0,19704.0,0.0,0.0
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2015,10,14879,14879.0,37197.5,1487.9,0.53,13.15
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2016,9,13628,13628.0,34070.0,1514.22,0.48,12.08
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2017,8,15203,15203.0,38007.5,1900.38,0.54,13.47
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2018,7,14655,14655.0,36637.5,2093.57,0.52,12.92
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2019,6,14580,14580.0,36450.0,2430.0,0.51,12.7
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2020,5,15361,15361.0,38402.5,3072.2,0.52,13.05
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2021,4,15095,15095.0,37737.5,3773.75,0.49,12.22
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2022,3,15699,15699.0,39247.5,5233.0,0.46,11.48
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2023,2,13915,13915.0,34787.5,6957.5,0.31,7.76
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2024,1,13974,13974.0,34935.0,13974.0,0.0,0.0
"РСД „Винча”, Београд",44.778866,20.588295,2021,4,327980,327980.0,819950.0,81995.0,10.62,265.45
"РСД „Винча”, Београд",44.778866,20.588295,2022,3,782161,782161.0,1955402.5,260720.33,22.88,571.93
"РСД „Винча”, Београд",44.778866,20.588295,2023,2,671359,671359.0,1678397.5,335679.5,14.97,374.27
"РСД „Винча”, Београд",44.778866,20.588295,2024,1,569968,569968.0,1424920.0,569968.0,0.0,0.0
