type,lat,lon,start_year,total_mass_ton
Nesanitarne deponije,45.02702,20.1848,1991,1105000.0
Nesanitarne deponije,44.56,22.56,1997,238000.0
Nesanitarne deponije,45.246702,19.499267,1984,3444000.0
Nesanitarne deponije,45.0888835,20.0496178,1981,682000.0
Nesanitarne deponije,43.720387,21.3889681,1986,273000.0
Nesanitarne deponije,43.5672622,21.6806705,1989,413967.60000000003
Nesanitarne deponije,43.3999438,21.0383712,1969,208000.0
Nesanitarne deponije,43.858029,19.872087,1973,195000.0
Nesanitarne deponije,45.136345,19.203782,1982,430000.0
Nesanitarne deponije,44.06742,22.13158,1990,821940.0
Nesanitarne deponije,44.1143,21.731,1992,1700.0
Nesanitarne deponije,46.089054,20.017072,1981,0.0
Nesanitarne deponije,45.0,19.0,1974,765000.0
Nesanitarne deponije,44.2699,19.9235,1990,1330000.0
Nesanitarne deponije,43.7195,21.389,1980,225000.0
Nesanitarne deponije,43.976582,21.276852,1970,0.0
Nesanitarne deponije,43.2965,19.9378,2008,127500.0
Nesanitarne deponije,44.62,20.2,1985,2800000.0
Nesanitarne deponije,43.021,21.5726,1988,182580.0
Nesanitarne deponije,43.1409,21.5126,2003,51636.0
Nesanitarne deponije,43.0479,21.8436,2000,54405.0
Nesanitarne deponije,42.9715,21.9365,1980,424945.0
Nesanitarne deponije,45.592039,20.046126,1965,1200000.0
Nesanitarne deponije,45.2363348,21.1289255,1980,139500.0
Nesanitarne deponije,43.6652,21.5625875,1986,42900.0
Nesanitarne deponije,44.8861517,20.6257616,1964,11000000.0
Nesanitarne deponije,44.3953882,19.5607467,1970,220000.0
Nesanitarne deponije,42.9752013,22.1170878,1980,15750.0
Nesanitarne deponije,44.239864,22.556559,1959,538890.0
Nesanitarne deponije,44.651648,20.951778,1971,2160000.0
Nesanitarne deponije,44.034167,20.931949,1968,13788585.0
Nesanitarne deponije,43.4939197,19.6327993,1983,840000.0
Nesanitarne deponije,43.5995715,20.9820633,1991,315928.0
Nesanitarne deponije,42.324183,21.633724,1995,144750.0
Nesanitarne deponije,43.73,20.71,1971,2152419.5
Nesanitarne deponije,43.807785,21.872181,1994,142972.0
Nesanitarne deponije,44.818424,20.081981,2010,112500.0
Nesanitarne deponije,42.52613,21.91062,1962,0.0
Nesanitarne deponije,42.48678,22.48848,1974,198900.0
Nesanitarne deponije,44.37389,20.19381,2023,20400.0
Nesanitarne deponije,45.3540472,20.3644608,1986,1560000.0
Nesanitarne deponije,44.632601,19.789862,1994,99200.0
Nesanitarne deponije,43.026099,22.812156,1970,27500.0
Nesanitarne deponije,43.291414,20.6367963,1984,287000.0
Nesanitarne deponije,44.729943,21.193231,1985,0.0
Nesanitarne deponije,44.643901,21.179896,1989,1264754.52
Nesanitarne deponije,43.2884718,21.8854718,1968,6302889.0
Nesanitarne deponije,42.714218,22.140422,1981,451440.0
Nesanitarne deponije,43.580309,22.262006,1950,975000.0
Nesanitarne deponije,45.311,19.842295,1963,22747899.82
Nesanitarne deponije,43.7105736,19.6739422,2002,154.0
Nesanitarne deponije,44.4022255,19.3312337,1980,171600.0
Nesanitarne deponije,43.966106,22.357016,1965,764640.0
Nesanitarne deponije,44.3825454,20.9979128,1990,0.0
Nesanitarne deponije,43.2660422,21.7040037,2000,5000.0
Nesanitarne deponije,45.4239165,19.8547558,1965,467500.0
Nesanitarne deponije,43.2884718,21.8854718,1968,6302889.0
Nesanitarne deponije,44.0,21.0,1970,550000.0
Nesanitarne deponije,43.4576345,22.2032516,1987,152380.0
Nesanitarne deponije,42.52613,21.91062,1962,0.0
Nesanitarne deponije,43.459331,19.796631,1986,0.0
Nesanitarne deponije,44.404548,21.946732,2004,33600.0
Nesanitarne deponije,43.0,19.0,2008,297.5
Nesanitarne deponije,42.676906,22.056099,1970,370000.0
Nesanitarne deponije,43.4939197,19.6327993,1983,134400.0
Nesanitarne deponije,45.016111,19.846553,1984,779000.0
Nesanitarne deponije,43.46204,20.061617,1965,19.5
Nesanitarne deponije,45.8912,20.1031,2002,186585.0
Nesanitarne deponije,44.477232,19.822436,1980,472500.0
Nesanitarne deponije,43.983624,19.939454,1981,7500.0
Nesanitarne deponije,43.109,22.56,2010,30000.0
Nesanitarne deponije,43.182,22.569,1990,0.0
Nesanitarne deponije,43.8781763,21.3475269,1975,825000.0
Nesanitarne deponije,45.479018,19.261676,1999,312000.0
Nesanitarne deponije,43.6652,21.5625875,1986,39000.0
Nesanitarne deponije,43.858029,19.872087,1973,195000.0
Nesanitarne deponije,43.2356538,21.5980195,1992,7600.0
Nesanitarne deponije,43.4576345,22.2032516,1987,152000.0
Nesanitarne deponije,43.7845,20.2703,1982,0.0
Nesanitarne deponije,45.0,20.0,1991,835380.0
Nesanitarne deponije,43.6479494,21.2851516,1984,1886000.0
Nesanitarne deponije,44.56,22.56,1997,238000.0
Nesanitarne deponije,42.324183,21.633724,1995,115200.0
Nesanitarne deponije,43.5234,21.0821,1983,63000.0
Nesanitarne deponije,44.632601,19.789862,1994,65100.0
Nesanitarne deponije,42.3821709,22.0594989,1992,10560.0
Nesanitarne deponije,43.026099,22.812156,1970,27500.0
Nesanitarne deponije,43.3999438,21.0383712,1969,208000.0
Nesanitarne deponije,42.4572,21.79063,2015,84000.0
Nesanitarne deponije,42.456956,21.785286,1993,184800.0
Nesanitarne deponije,45.8621904,19.1159462,1991,1088000.0
Nesanitarne deponije,46.089054,20.017072,1981,351000.0
Nesanitarne deponije,43.3062479,21.3246058,1977,230400.0
Nesanitarne deponije,42.5813,21.5606,1980,424945.0
Nesanitarne deponije,43.043,21.5106,2000,54405.0
Nesanitarne deponije,43.1409,21.5126,2003,51636.0
Nesanitarne deponije,43.021,21.5726,1988,182580.0
Nesanitarne deponije,44.8301833,20.8673946,1950,124800.0
Nesanitarne deponije,44.8511724,21.0400591,1950,62400.0
Nesanitarne deponije,44.8023496,21.2041897,1950,62400.0
Nesanitarne deponije,44.7849088,21.071952,1950,62400.0
Nesanitarne deponije,44.8665327,20.977646,2010,12480.0
Nesanitarne deponije,44.7701096,20.9094028,1950,62400.0
Nesanitarne deponije,44.7467258,20.9630099,1980,466110.0
Nesanitarne deponije,44.7147421,20.8746521,2003,18304.0
Nesanitarne deponije,44.729943,21.193231,1985,200000.0
Nesanitarne deponije,44.643901,21.179896,1989,1050000.0
Nesanitarne deponije,43.126827,21.221966,2003,96228.0
Nesanitarne deponije,44.1,21.3,1995,380.0
Nesanitarne deponije,43.88001,20.38266,1973,39.0
Nesanitarne deponije,46.075846,20.1027,1984,190117.0
Nesanitarne deponije,43.2660422,21.7040037,2000,541800.0
Nesanitarne deponije,44.269656,19.9249978,1990,1505000.0
Nesanitarne deponije,45.0,18.0,1978,338400.0
Nesanitarne deponije,45.787467,19.618383,1987,119320.0
Nesanitarne deponije,45.044369,20.860375,2000,25000.0
Nesanitarne deponije,45.060005,21.018658,2000,37500.0
Nesanitarne deponije,45.090889,20.979096,2000,37500.0
Nesanitarne deponije,43.7460333,19.7044344,1981,0.0
Nesanitarne deponije,43.7105736,19.6739422,2002,0.0
Nesanitarne deponije,44.4646783,21.679741,2002,45540.0
Nesanitarne deponije,44.4770813,20.0894164,1965,516300.0
Nesanitarne deponije,43.2884718,21.8854718,1968,5221599.0
Nesanitarne deponije,44.45318,19.422962,1994,9000000.0
Nesanitarne deponije,45.9406629,20.1653909,1996,105850.0
Nesanitarne deponije,45.165838,20.55476,1992,92400.0
Nesanitarne deponije,45.181193,20.111967,2000,11250.0
Nesanitarne deponije,44.05,22.06,1990,561295.0
Nesanitarne deponije,44.7743084,19.4726886,1990,140160.0
Nesanitarne deponije,44.833814,19.4535269,1990,160800.0
Nesanitarne deponije,43.73,20.71,1971,1898000.0
Nesanitarne deponije,45.4239165,19.8547558,1965,401500.0
Nesanitarne deponije,45.22377,20.0215,1989,97776.0
Nesanitarne deponije,45.29047,20.02215,1988,58238.0
Nesanitarne deponije,45.18149,20.04076,1990,30625.0
Nesanitarne deponije,44.351846,21.132731,2006,760000.0
Nesanitarne deponije,44.2363033,20.2553087,1985,66000.0
Nesanitarne deponije,44.2344272,20.3964209,1987,41650.0
Nesanitarne deponije,45.12371,20.171451,1989,39600.0
Nesanitarne deponije,45.136345,19.203782,1982,438815.0
Nesanitarne deponije,45.5197146,20.5961071,1950,8160.0
Nesanitarne deponije,43.291414,20.6367963,1984,287000.0
Nesanitarne deponije,43.5361575,21.7035322,1989,342000.0
Nesanitarne deponije,44.1143,21.731,1992,2125.0
Nesanitarne deponije,43.6786679,20.8590173,2015,131300.0
Nesanitarne deponije,43.65,21.82,1970,495000.0
Nesanitarne deponije,43.19833,21.7198,1994,18000.0
Nesanitarne deponije,44.62,20.2,1985,2800000.0
Nesanitarne deponije,44.38174,20.20693,2004,149400.0
Nesanitarne deponije,43.720387,21.3889681,1986,195000.0
Nesanitarne deponije,45.7958676,20.1013361,1985,340000.0
Nesanitarne deponije,45.73294,19.372397,1990,105875.0
Nesanitarne deponije,45.4124,19.2526,1976,318500.0
Nesanitarne deponije,45.3337,19.3256,1990,2928765.0
Nesanitarne deponije,44.034167,20.931949,1968,10887000.0
Nesanitarne deponije,46.079331,19.686445,1978,2350000.0
Nesanitarne deponije,44.904343,21.382778,1994,136307.0
Nesanitarne deponije,43.8136797,20.0429123,1975,37400.0
Nesanitarne deponije,44.8836174,20.6296634,1964,1925000.0
Nesanitarne deponije,43.966106,22.357016,1965,1055427.0
Nesanitarne deponije,44.0,21.0,1964,0.0
Nesanitarne deponije,43.976582,21.276852,1970,2000.0
Nesanitarne deponije,43.0,22.0,1980,22500.0
Nesanitarne deponije,44.6998136,21.5859578,1995,180000.0
Nesanitarne deponije,45.0888835,20.0496178,1981,860864.8400000001
Nesanitarne deponije,45.246702,19.499267,1984,2045449.0
Nesanitarne deponije,43.580309,22.262006,1950,624000.0
Nesanitarne deponije,42.2912,22.2919,1974,72267.0
Nesanitarne deponije,45.2017398,19.7038667,1970,247500.0
Nesanitarne deponije,44.4752325,20.0887888,2004,146285.0
Nesanitarne deponije,45.375949,19.2052207,1990,630000.0
Nesanitarne deponije,45.592039,20.046126,1965,1200000.0
Nesanitarne deponije,44.54,19.2,1965,1800000.0
Nesanitarne deponije,44.3953882,19.5607467,1970,230.67
Nesanitarne deponije,43.5995715,20.9820633,1991,238000.0
Nesanitarne deponije,43.2435,19.382,1972,556500.0
Nesanitarne deponije,45.615375,19.736438,2006,380000.0
Nesanitarne deponije,44.0,21.0,1980,410000.0
Nesanitarne deponije,43.6793,20.8603,2016,118257.48
Nesanitarne deponije,44.4022255,19.3312337,1980,43824.0
Nesanitarne deponije,44.7457,21.5464,1992,312000.0
Nesanitarne deponije,44.0,21.0,1970,550000.0
Nesanitarne deponije,43.807785,21.872181,1994,34844.0
Nesanitarne deponije,45.2926441,21.2926441,1966,2177100.0
Nesanitarne deponije,45.3631842,19.6180128,1985,48000.0
Nesanitarne deponije,45.6895345,19.6988385,1990,10080.0
Nesanitarne deponije,43.45,21.02,1970,251240.0
Nesanitarne deponije,44.3825454,20.9979128,1990,0.0
Nesanitarne deponije,44.4197145,20.3699057,2011,392000.0
Nesanitarne deponije,44.651648,20.951778,1971,810000.0
Nesanitarne deponije,44.818424,20.081981,2010,90000.0
Nesanitarne deponije,44.239864,22.556559,1959,627000.0
Nesanitarne deponije,43.9368,20.7338,1981,220000.0
Nesanitarne deponije,45.0,19.0,1974,765000.0
Nesanitarne deponije,45.0,19.0,1974,357000.0
Nesanitarne deponije,45.6043274,20.1837872,1951,628260.0
Nesanitarne deponije,42.714218,22.140422,1981,2673.0989999999997
Nesanitarne deponije,43.7195108,21.3889789,1980,225000.0
Nesanitarne deponije,44.2700821,20.6796526,1970,440000.0
Nesanitarne deponije,45.3540472,20.3644608,1986,1560000.0
Nesanitarne deponije,45.317541,19.834156,1963,14781721.94
Nesanitarne deponije,45.222989,20.7940327,2011,140000.0
Nesanitarne deponije,43.0,19.0,1987,285000.0
Nesanitarne deponije,45.2363348,21.1289255,1980,103500.0
Nesanitarne deponije,44.7862355,20.5955171,1977,37800000.0
Nesanitarne deponije,43.976582,21.276852,1970,2000.0
Nesanitarne deponije,44.4770813,20.0894164,1965,509340.0
Nesanitarne deponije,45.317541,19.834156,1963,11160000.0
Nesanitarne deponije,43.807785,21.872181,1994,42657.549999999996
Nesanitarne deponije,44.0,21.0,1970,440000.0
Nesanitarne deponije,44.05,22.06,1990,561295.0
Nesanitarne deponije,45.362196,19.311885,1987,76000.0
Nesanitarne deponije,45.362195,19.311885,1990,17500.0
Nesanitarne deponije,45.246702,19.499267,1984,2045449.0
Nesanitarne deponije,45.362215,19.211292,1990,0.0
Nesanitarne deponije,45.3337,19.3256,1990,2928765.0
Nesanitarne deponije,45.4124,19.2526,1976,318500.0
Nesanitarne deponije,45.73294,19.372397,1990,96250.0
Nesanitarne deponije,43.580309,22.262006,1950,615000.0
Nesanitarne deponije,44.38174,20.20693,2004,149400.0
Nesanitarne deponije,44.7457,21.5464,1992,664300.0
Nesanitarne deponije,43.7195108,21.3889789,1980,225000.0
Nesanitarne deponije,43.966106,22.357016,1965,1033933.2000000001
Nesanitarne deponije,44.0,21.0,1964,0.0
Nesanitarne deponije,43.5995715,20.9820633,1991,238000.0
Nesanitarne deponije,44.651648,20.951778,1971,810000.0
Nesanitarne deponije,44.034167,20.931949,1968,2850000.0
Nesanitarne deponije,45.181193,20.111967,2000,62500.0
Nesanitarne deponije,45.12371,20.171451,1989,180000.0
Nesanitarne deponije,45.165838,20.55476,1992,66000.0
Nesanitarne deponije,45.6895345,19.6988385,1990,10500.0
Nesanitarne deponije,44.477232,19.822436,1980,472500.0
Nesanitarne deponije,44.6998136,21.5859578,1995,180000.0
Nesanitarne deponije,45.9406629,20.1653909,1996,58000.0
Nesanitarne deponije,44.7743084,19.4726886,1990,140160.0
Nesanitarne deponije,44.833814,19.4535269,1990,160800.0
Nesanitarne deponije,43.035496,20.425255,1999,894400.0
Nesanitarne deponije,45.3631842,19.6180128,1985,96000.0
Nesanitarne deponije,45.0,19.0,1974,765000.0
Nesanitarne deponije,46.079331,19.686445,1978,2350000.0
Nesanitarne deponije,44.45318,19.422962,1994,0.0
Nesanitarne deponije,46.075846,20.1027,1984,0.0
Nesanitarne deponije,43.2356538,21.5980195,1992,0.0
Nesanitarne deponije,44.7862355,20.5955171,1977,23865.198000000004
Nesanitarne deponije,44.8023496,21.2041897,1950,62250.0
Nesanitarne deponije,44.7849088,21.071952,1950,67500.0
