type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
Nesanitarne deponije,45.362215,19.211292,1990,35,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,45.3337,19.3256,1990,35,2928765.0,2928765.0,7321912.5,83679.0,78.96,1974.1
Nesanitarne deponije,45.4124,19.2526,1976,49,318500.0,318500.0,796250.0,6500.0,7.34,183.57
Nesanitarne deponije,45.73294,19.372397,1990,35,96250.0,96250.0,240625.0,2750.0,2.6,64.88
Nesanitarne deponije,43.580309,22.262006,1950,75,615000.0,615000.0,1537500.0,8200.0,10.99,274.83
Nesanitarne deponije,44.38174,20.20693,2004,21,149400.0,149400.0,373500.0,7114.29,4.75,118.82
Nesanitarne deponije,44.7457,21.5464,1992,33,664300.0,664300.0,1660750.0,20130.3,18.33,458.35
Nesanitarne deponije,43.7195108,21.3889789,1980,45,225000.0,225000.0,562500.0,5000.0,5.42,135.42
Nesanitarne deponije,43.966106,22.357016,1965,60,1033933.2,1033933.2,2584833.0,17232.22,21.28,532.05
Nesanitarne deponije,44.0,21.0,1964,61,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.5995715,20.9820633,1991,34,238000.0,238000.0,595000.0,7000.0,6.49,162.3
Nesanitarne deponije,44.651648,20.951778,1971,54,810000.0,810000.0,2025000.0,15000.0,17.72,442.92
Nesanitarne deponije,44.034167,20.931949,1968,57,2850000.0,2850000.0,7125000.0,50000.0,60.45,1511.32
Nesanitarne deponije,45.181193,20.111967,2000,25,62500.0,62500.0,156250.0,2500.0,1.9,47.42
Nesanitarne deponije,45.12371,20.171451,1989,36,180000.0,180000.0,450000.0,5000.0,4.8,119.93
Nesanitarne deponije,45.165838,20.55476,1992,33,66000.0,66000.0,165000.0,2000.0,1.82,45.54
Nesanitarne deponije,45.6895345,19.6988385,1990,35,10500.0,10500.0,26250.0,300.0,0.28,7.08
Nesanitarne deponije,44.477232,19.822436,1980,45,472500.0,472500.0,1181250.0,10500.0,11.38,284.39
Nesanitarne deponije,44.6998136,21.5859578,1995,30,180000.0,180000.0,450000.0,6000.0,5.15,128.67
Nesanitarne deponije,45.9406629,20.1653909,1996,29,58000.0,58000.0,145000.0,2000.0,1.68,41.96
Nesanitarne deponije,44.7743084,19.4726886,1990,35,140160.0,140160.0,350400.0,4004.57,3.78,94.47
Nesanitarne deponije,44.833814,19.4535269,1990,35,160800.0,160800.0,402000.0,4594.29,4.34,108.39
Nesanitarne deponije,43.035496,20.425255,1999,26,894400.0,894400.0,2236000.0,34400.0,26.82,670.51
