type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes,center_x_px,center_y_px,image_name,radius
Wild,44.5748003,21.5448152,2005,20,10.0,500.0,1250.0,0.5,0.0,0.01,433.18,351.79,tile_block_354_413.jpg,14.1
Wild,44.5960312,21.5205251,2005,20,20.0,1500.0,3750.0,1.0,0.0,0.02,25.6,54.06,tile_block_350_410.jpg,24.43
Wild,44.6050759,21.601501,2005,20,15.0,2000.0,5000.0,0.75,0.0,0.01,301.03,29.2,tile_block_348_422.jpg,28.21
Wild,44.6159159,21.6104059,2005,20,15.0,300.0,750.0,0.75,0.0,0.01,486.66,355.84,tile_block_345_423.jpg,10.93
Wild,44.6413705,21.5132402,2005,20,20.0,7000.0,17500.0,1.0,0.0,0.02,439.73,141.44,tile_block_340_408.jpg,52.78
Wild,44.618858,21.5202462,2005,20,8.0,500.0,1250.0,0.4,0.0,0.01,499.3,78.61,tile_block_345_409.jpg,14.1
Wild,44.6164734,21.5151929,2005,20,30.0,7000.0,17500.0,1.5,0.0,0.02,100.06,346.03,tile_block_345_409.jpg,52.78
Wild,44.6890791,21.59369,2005,20,15.0,3000.0,7500.0,0.75,0.0,0.01,125.24,430.62,tile_block_329_421.jpg,34.55
Wild,44.6295714,21.5793621,2005,20,15.0,400.0,1000.0,0.75,0.0,0.01,60.87,392.95,tile_block_342_419.jpg,12.62
Wild,44.6192208,21.5930038,2005,20,12.0,2000.0,5000.0,0.6,0.0,0.01,127.31,510.92,tile_block_344_421.jpg,28.21
Wild,44.6645039,21.5094208,2005,20,50.0,8000.0,20000.0,2.5,0.0,0.04,120.77,133.66,tile_block_335_408.jpg,56.42
Wild,42.3658862,21.9549547,2005,20,3.0,3450.0,8625.0,0.15,0.0,0.0,481.74,122.95,tile_block_833_482.jpg,37.05
Wild,42.3693518,22.076107,2005,20,4.5,3700.0,9250.0,0.23,0.0,0.0,212.88,130.98,tile_block_832_502.jpg,38.37
